platform,min,max,duration
2600,1980,1989,10
3DO,1994,1995,2
3DS,2011,2016,6
DC,1998,2008,11
DS,1985,2013,29
GB,1988,2001,14
GBA,2000,2007,8
GC,2001,2007,7
GEN,1990,1994,5
GG,1992,1992,1
N64,1996,2002,7
NES,1983,1994,12
NG,1993,1996,4
PC,1985,2016,32
PCFX,1996,1996,1
PS,1994,2003,10
PS2,2000,2011,12
PS3,2006,2016,11
PS4,2013,2016,4
PSP,2004,2015,12
PSV,2011,2016,6
SAT,1994,1999,6
SCD,1993,1994,2
SNES,1990,1999,10
TG16,1995,1995,1
WS,1999,2001,3
Wii,2006,2016,11
WiiU,2012,2016,5
X360,2005,2016,12
XB,2000,2008,9
XOne,2013,2016,4
